"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NS_Model - CAR T Cells (2).nlogo"
"unique patches visited+tp_relationship"
"02/12/2026 05:56:58:716 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","c-ratio","total-cells","tp","num-cs","mp","t-ratio","num-ts","[step]","count unique-patches-cs","count unique-patches-ts","mean [count unique-patches-visited] of turtles"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","2","2","2","1.9899497487437185"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","2","2","2","1.9698492462311559"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","2","2","2","1.984924623115578"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","0","0","0","0"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","3","3","3","2.949748743718593"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","3","3","3","2.9346733668341707"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","3","3","3","2.8944723618090453"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","4","4","3","3.8944723618090453"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","4","3","4","3.8542713567839195"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","4","4","3","3.869346733668342"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","5","5","5","4.844221105527638"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","5","5","3","4.788944723618091"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","6","6","6","5.788944723618091"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","7","6","7","6.733668341708543"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","8","8","8","7.703517587939698"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","5","5","5","4.788944723618091"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","2","2","2","1.9899497487437185"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","6","6","6","5.728643216080402"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","2","2","2","1.984924623115578"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","9","9","9","8.64824120603015"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","6","6","6","5.733668341708543"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","7","6","7","6.693467336683417"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","3","3","3","2.9648241206030153"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","10","9","9","9.608040201005025"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","7","7","7","6.673366834170854"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","4","4","4","3.92964824120603"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","8","8","8","7.633165829145729"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","11","11","9","10.57286432160804"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","8","8","6","7.618090452261306"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","5","5","3","4.85929648241206"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","9","8","9","8.56281407035176"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","12","12","12","11.49748743718593"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","3","3","3","2.9447236180904524"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","1","1","1","1"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","6","6","6","5.798994974874372"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","10","10","8","9.487437185929648"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","13","13","12","12.4321608040201"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","4","4","4","3.85929648241206"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","7","7","5","6.728643216080402"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","9","7","9","8.517587939698492"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","14","14","14","13.386934673366834"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","11","11","9","10.442211055276381"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","5","5","5","4.778894472361809"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","8","8","8","7.668341708542713"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","10","10","7","9.462311557788945"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","2","2","2","1.9949748743718594"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","12","11","11","11.391959798994975"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","15","14","15","14.35678391959799"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","6","5","6","5.71859296482412"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","9","9","9","8.608040201005025"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","11","11","9","10.447236180904522"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","16","16","14","15.301507537688442"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","13","11","11","12.346733668341708"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","7","7","7","6.678391959798995"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","10","9","8","9.552763819095478"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","12","12","12","11.422110552763819"
